\begin{tabular}{llllllr}
\toprule
{} & eta\_ae & eta\_lsa & eta\_dsa & eta\_msa &  sigma &     Value \\
\midrule
1   &      0 &       0 &       0 &       1 &      0 &  0.938299 \\
93  &  0.888 &    0.03 &    0.91 &    0.36 &  0.514 &  0.917190 \\
56  &  0.463 &   0.062 &   0.575 &   0.508 &  0.148 &  0.916315 \\
60  &  0.513 &   0.005 &   0.275 &   0.022 &  0.797 &  0.913919 \\
15  &  0.153 &   0.004 &   0.623 &   0.483 &  0.757 &  0.910763 \\
61  &   0.53 &   0.059 &   0.101 &   0.431 &  0.208 &  0.910560 \\
96  &  0.919 &   0.075 &   0.458 &   0.199 &  0.452 &  0.908343 \\
18  &  0.165 &   0.168 &   0.001 &    0.63 &  0.306 &  0.906900 \\
82  &  0.759 &   0.272 &   0.385 &   0.797 &  0.301 &  0.906181 \\
37  &  0.287 &   0.088 &   0.114 &   0.222 &   0.11 &  0.903120 \\
88  &  0.844 &   0.701 &   0.583 &   0.562 &  0.126 &  0.902450 \\
12  &  0.101 &   0.591 &   0.652 &   0.472 &  0.066 &  0.901720 \\
76  &  0.717 &   0.036 &   0.602 &   0.129 &  0.891 &  0.900023 \\
22  &  0.183 &   0.114 &   0.923 &   0.495 &  0.229 &  0.899986 \\
94  &  0.888 &   0.415 &   0.635 &   0.503 &  0.244 &  0.899624 \\
68  &   0.62 &   0.323 &   0.385 &   0.154 &  0.198 &  0.899216 \\
79  &  0.734 &   0.156 &   0.467 &   0.244 &  0.362 &  0.899181 \\
72  &  0.646 &   0.072 &   0.015 &   0.231 &  0.678 &  0.896955 \\
89  &  0.849 &   0.432 &   0.597 &   0.165 &  0.243 &  0.894332 \\
50  &  0.432 &   0.077 &   0.948 &   0.026 &  0.325 &  0.893106 \\
97  &  0.922 &    0.52 &   0.909 &   0.933 &  0.045 &  0.892421 \\
80  &  0.738 &   0.149 &   0.916 &   0.765 &   0.48 &  0.890523 \\
84  &  0.767 &   0.102 &   0.144 &     0.1 &  0.627 &  0.889540 \\
35  &  0.286 &   0.433 &   0.204 &   0.081 &  0.085 &  0.889285 \\
98  &  0.929 &   0.162 &   0.044 &   0.128 &   0.63 &  0.889244 \\
81  &  0.756 &   0.289 &   0.932 &   0.884 &  0.364 &  0.889223 \\
66  &  0.597 &   0.445 &    0.68 &   0.105 &   0.06 &  0.887611 \\
32  &  0.269 &   0.423 &   0.319 &   0.129 &  0.144 &  0.885552 \\
71  &  0.639 &   0.755 &    0.88 &    0.19 &  0.115 &  0.885331 \\
29  &  0.238 &   0.317 &   0.365 &   0.234 &  0.166 &  0.882472 \\
57  &  0.471 &   0.598 &   0.117 &   0.052 &   0.16 &  0.878767 \\
4   &  0.004 &   0.443 &   0.734 &   0.968 &  0.149 &  0.875863 \\
63  &  0.546 &   0.225 &   0.126 &   0.315 &   0.46 &  0.873800 \\
95  &  0.891 &   0.553 &   0.163 &    0.18 &  0.368 &  0.868674 \\
103 &  0.996 &     0.3 &   0.532 &   0.485 &   0.01 &  0.868567 \\
83  &  0.762 &   0.294 &    0.85 &   0.315 &   0.01 &  0.865488 \\
14  &  0.109 &    0.02 &   0.144 &   0.403 &   0.86 &  0.863184 \\
101 &  0.979 &    0.71 &   0.207 &   0.534 &  0.381 &  0.859193 \\
102 &  0.982 &   0.897 &    0.08 &    0.04 &  0.329 &  0.855168 \\
99  &  0.929 &   0.235 &   0.061 &   0.562 &  0.002 &  0.853644 \\
33  &  0.273 &   0.396 &   0.643 &    0.26 &  0.198 &  0.843877 \\
40  &  0.301 &   0.365 &   0.222 &   0.016 &  0.232 &  0.843863 \\
78  &  0.733 &   0.114 &   0.213 &    0.23 &  0.835 &  0.838931 \\
70  &  0.621 &   0.909 &   0.561 &   0.618 &  0.263 &  0.836601 \\
45  &  0.353 &   0.094 &   0.657 &   0.344 &  0.529 &  0.830409 \\
16  &  0.159 &   0.084 &   0.131 &   0.778 &  0.659 &  0.829788 \\
54  &  0.441 &   0.284 &   0.476 &    0.68 &  0.435 &  0.825614 \\
19  &  0.167 &   0.468 &   0.292 &    0.97 &  0.294 &  0.821840 \\
100 &  0.972 &   0.702 &    0.31 &   0.148 &   0.38 &  0.821729 \\
90  &  0.856 &   0.238 &   0.848 &   0.638 &  0.582 &  0.810330 \\
92  &  0.877 &   0.099 &   0.717 &   0.116 &  0.858 &  0.809033 \\
85  &  0.784 &    0.62 &   0.686 &   0.555 &  0.355 &  0.795440 \\
77  &  0.724 &   0.247 &   0.032 &    0.55 &  0.698 &  0.783050 \\
51  &  0.437 &   0.235 &   0.971 &   0.674 &  0.451 &  0.778107 \\
73  &  0.669 &   0.278 &   0.393 &   0.732 &  0.612 &  0.773147 \\
49  &  0.377 &    0.41 &   0.705 &   0.684 &  0.369 &  0.771970 \\
53  &   0.44 &   0.126 &   0.002 &   0.977 &   0.94 &  0.771597 \\
67  &  0.614 &    0.32 &   0.111 &   0.523 &  0.603 &  0.769443 \\
58  &  0.502 &   0.776 &   0.239 &   0.149 &  0.271 &  0.757829 \\
62  &  0.544 &   0.058 &   0.919 &   0.157 &   0.89 &  0.748393 \\
5   &  0.028 &   0.059 &   0.909 &   0.779 &  0.656 &  0.712075 \\
21  &   0.18 &   0.143 &   0.304 &   0.708 &  0.663 &  0.693293 \\
8   &   0.07 &   0.462 &     0.8 &   0.766 &  0.243 &  0.682631 \\
13  &  0.107 &   0.084 &   0.457 &    0.59 &  0.751 &  0.637969 \\
42  &  0.317 &   0.084 &   0.719 &   0.494 &  0.957 &  0.600849 \\
0   &      0 &       0 &       0 &       0 &      1 &  0.592712 \\
86  &  0.796 &   0.324 &   0.163 &   0.042 &  0.805 &  0.518704 \\
31  &  0.259 &   0.118 &   0.835 &   0.571 &  0.994 &  0.515241 \\
55  &  0.462 &   0.316 &   0.864 &   0.623 &  0.668 &  0.486182 \\
10  &  0.098 &    0.12 &   0.492 &   0.388 &  0.659 &  0.455895 \\
48  &  0.372 &   0.305 &   0.603 &   0.787 &  0.712 &  0.434229 \\
74  &  0.703 &   0.252 &   0.897 &   0.317 &  0.889 &  0.432151 \\
87  &  0.815 &   0.535 &   0.744 &   0.317 &  0.706 &  0.310296 \\
65  &  0.589 &   0.402 &   0.775 &   0.651 &  0.891 &  0.296568 \\
38  &  0.296 &   0.206 &   0.844 &   0.173 &  0.644 &  0.261195 \\
59  &  0.505 &   0.531 &   0.797 &    0.27 &  0.525 &  0.252907 \\
44  &  0.319 &   0.304 &   0.062 &   0.367 &  0.832 &  0.241599 \\
20  &  0.174 &   0.769 &   0.231 &   0.759 &  0.418 &  0.217010 \\
47  &  0.362 &   0.789 &   0.128 &   0.594 &  0.539 &  0.207937 \\
64  &  0.575 &    0.44 &   0.184 &   0.124 &  0.846 &  0.198452 \\
43  &  0.318 &   0.551 &   0.525 &   0.757 &  0.789 &  0.189281 \\
23  &  0.188 &   0.416 &   0.696 &   0.556 &  0.862 &  0.185794 \\
