\begin{tabular}{llllllr}
\toprule
{} & eta\_ae & eta\_lsa & eta\_dsa & eta\_msa &  sigma &     Value \\
\midrule
104 &      1 &       0 &       0 &       0 &      0 &  0.872894 \\
63  &  0.631 &   0.003 &   0.707 &   0.525 &  0.936 &  0.818658 \\
52  &   0.54 &   0.008 &   0.886 &   0.649 &  0.253 &  0.816678 \\
82  &  0.802 &   0.012 &   0.088 &   0.253 &  0.458 &  0.799043 \\
55  &  0.564 &   0.109 &   0.982 &    0.07 &  0.015 &  0.790888 \\
95  &  0.959 &   0.118 &   0.167 &   0.568 &  0.911 &  0.782804 \\
21  &  0.248 &   0.033 &   0.621 &   0.983 &  0.259 &  0.782462 \\
61  &  0.622 &    0.03 &   0.748 &   0.537 &  0.098 &  0.776953 \\
89  &  0.901 &   0.426 &   0.163 &   0.068 &  0.273 &  0.775091 \\
98  &  0.983 &    0.51 &   0.188 &   0.112 &  0.135 &  0.750729 \\
85  &  0.847 &   0.797 &   0.072 &   0.826 &  0.323 &  0.744853 \\
41  &  0.433 &   0.238 &   0.168 &   0.479 &  0.402 &  0.743572 \\
91  &  0.929 &   0.297 &   0.074 &   0.382 &  0.662 &  0.741939 \\
97  &   0.98 &    0.21 &   0.506 &   0.163 &  0.222 &  0.740997 \\
9   &  0.076 &   0.086 &   0.792 &   0.445 &  0.075 &  0.737171 \\
20  &  0.238 &   0.103 &   0.449 &   0.225 &  0.053 &  0.737076 \\
69  &   0.68 &   0.245 &   0.486 &   0.855 &  0.497 &  0.729563 \\
81  &  0.791 &   0.455 &   0.492 &   0.794 &  0.376 &  0.724928 \\
84  &  0.822 &   0.562 &   0.937 &   0.431 &  0.244 &  0.723970 \\
101 &  0.995 &   0.329 &   0.166 &   0.408 &  0.738 &  0.720915 \\
71  &    0.7 &   0.137 &   0.412 &   0.357 &  0.131 &  0.718087 \\
77  &  0.772 &   0.389 &   0.848 &    0.67 &   0.24 &  0.713689 \\
65  &  0.644 &   0.532 &   0.215 &   0.801 &  0.329 &  0.713148 \\
90  &  0.916 &   0.444 &   0.946 &   0.078 &  0.396 &  0.711119 \\
56  &   0.57 &   0.268 &   0.432 &   0.746 &  0.534 &  0.709625 \\
33  &  0.367 &   0.237 &   0.205 &   0.281 &  0.437 &  0.703428 \\
76  &   0.77 &     0.3 &   0.329 &   0.462 &  0.182 &  0.698502 \\
59  &  0.602 &   0.624 &   0.362 &   0.858 &  0.336 &  0.695536 \\
45  &  0.441 &   0.331 &   0.962 &   0.204 &  0.299 &  0.694977 \\
66  &  0.648 &   0.501 &   0.681 &   0.156 &  0.232 &  0.693858 \\
102 &  0.995 &   0.662 &   0.835 &   0.157 &   0.41 &  0.691105 \\
36  &  0.403 &   0.104 &   0.565 &    0.83 &  0.216 &  0.690326 \\
80  &  0.789 &   0.764 &   0.325 &   0.516 &  0.325 &  0.688572 \\
22  &  0.251 &   0.081 &   0.097 &   0.505 &  0.025 &  0.685805 \\
72  &  0.715 &   0.493 &   0.514 &   0.747 &  0.016 &  0.684902 \\
99  &  0.988 &   0.402 &   0.585 &   0.607 &  0.239 &  0.682474 \\
17  &    0.2 &   0.401 &   0.146 &   0.319 &  0.222 &  0.668442 \\
64  &   0.64 &   0.311 &   0.805 &   0.368 &   0.21 &  0.657031 \\
62  &  0.623 &   0.289 &   0.558 &   0.107 &  0.245 &  0.653381 \\
44  &  0.441 &   0.285 &    0.12 &   0.633 &  0.078 &  0.652490 \\
28  &  0.313 &   0.253 &   0.659 &   0.196 &  0.089 &  0.643717 \\
58  &  0.594 &   0.647 &   0.859 &   0.112 &  0.126 &  0.608303 \\
10  &  0.103 &   0.012 &   0.756 &   0.345 &  0.985 &  0.603598 \\
67  &  0.653 &   0.859 &   0.149 &   0.017 &  0.001 &  0.596451 \\
79  &  0.786 &   0.719 &   0.776 &   0.478 &  0.402 &  0.581904 \\
68  &  0.654 &   0.248 &   0.044 &   0.845 &  0.798 &  0.570353 \\
14  &  0.157 &   0.837 &   0.348 &   0.273 &  0.058 &  0.568459 \\
2   &      0 &       0 &       1 &       0 &      0 &  0.549862 \\
1   &      0 &       0 &       0 &       1 &      0 &  0.549862 \\
0   &      0 &       0 &       0 &       0 &      1 &  0.549862 \\
93  &  0.933 &   0.566 &   0.998 &   0.793 &  0.512 &  0.549835 \\
29  &  0.325 &   0.089 &   0.907 &   0.273 &  0.734 &  0.547863 \\
83  &   0.81 &   0.282 &   0.657 &   0.684 &   0.81 &  0.545986 \\
8   &  0.072 &    0.48 &   0.032 &   0.011 &  0.057 &  0.544700 \\
31  &  0.356 &   0.151 &   0.992 &   0.244 &  0.526 &  0.542843 \\
78  &  0.776 &   0.579 &   0.081 &   0.735 &  0.588 &  0.530968 \\
27  &  0.311 &   0.844 &   0.727 &   0.176 &  0.182 &  0.525774 \\
47  &  0.493 &   0.209 &   0.008 &   0.174 &  0.911 &  0.494140 \\
86  &  0.848 &   0.766 &   0.887 &   0.826 &  0.465 &  0.483865 \\
96  &  0.963 &   0.569 &    0.72 &   0.718 &   0.65 &  0.466050 \\
12  &  0.137 &   0.797 &   0.671 &   0.209 &  0.123 &  0.418109 \\
94  &  0.944 &   0.431 &   0.729 &   0.727 &  0.771 &  0.411443 \\
54  &   0.55 &   0.277 &   0.466 &   0.117 &  0.708 &  0.401336 \\
