,eta_ae,eta_lsa,sigma,Agent,Epoch,Rank,Step,Value
722,0.944,0.056,0.491,A,14999.0,2.0,4475.0,0.9010205078125001
723,0.944,0.056,0.491,A,19999.0,2.0,4475.0,0.9018823242187499
724,0.944,0.056,0.491,A,24999.0,2.0,4475.0,0.9025634765625
725,0.944,0.056,0.491,A,29999.0,2.0,4475.0,0.9034838867187501
726,0.944,0.056,0.491,A,34999.0,2.0,4475.0,0.9031591796874998
727,0.944,0.056,0.491,A,39999.0,2.0,4475.0,0.90442626953125
728,0.944,0.056,0.491,A,44999.0,2.0,4475.0,0.9039306640625
729,0.944,0.056,0.491,A,49999.0,2.0,4475.0,0.904921875
732,0.944,0.056,0.491,B,14999.0,2.0,4475.0,0.9006030273437501
733,0.944,0.056,0.491,B,19999.0,2.0,4475.0,0.9018261718749999
734,0.944,0.056,0.491,B,24999.0,2.0,4475.0,0.9016357421875
735,0.944,0.056,0.491,B,29999.0,2.0,4475.0,0.9023193359375
736,0.944,0.056,0.491,B,34999.0,2.0,4475.0,0.9033276367187499
737,0.944,0.056,0.491,B,39999.0,2.0,4475.0,0.9039648437499999
738,0.944,0.056,0.491,B,44999.0,2.0,4475.0,0.90359375
739,0.944,0.056,0.491,B,49999.0,2.0,4475.0,0.9038525390625001
742,0.944,0.056,0.491,C,14999.0,2.0,4475.0,0.9015380859375
743,0.944,0.056,0.491,C,19999.0,2.0,4475.0,0.9019775390625
744,0.944,0.056,0.491,C,24999.0,2.0,4475.0,0.9024658203125
745,0.944,0.056,0.491,C,29999.0,2.0,4475.0,0.90279541015625
746,0.944,0.056,0.491,C,34999.0,2.0,4475.0,0.904287109375
747,0.944,0.056,0.491,C,39999.0,2.0,4475.0,0.9041577148437501
748,0.944,0.056,0.491,C,44999.0,2.0,4475.0,0.9042944335937501
749,0.944,0.056,0.491,C,49999.0,2.0,4475.0,0.9036669921874999
752,0.944,0.056,0.491,baseline,14999.0,2.0,4475.0,0.89825439453125
753,0.944,0.056,0.491,baseline,19999.0,2.0,4475.0,0.8977734374999999
754,0.944,0.056,0.491,baseline,24999.0,2.0,4475.0,0.89905517578125
755,0.944,0.056,0.491,baseline,29999.0,2.0,4475.0,0.8993505859375001
756,0.944,0.056,0.491,baseline,34999.0,2.0,4475.0,0.8998071289062499
757,0.944,0.056,0.491,baseline,39999.0,2.0,4475.0,0.8998437499999999
758,0.944,0.056,0.491,baseline,44999.0,2.0,4475.0,0.9001953125
759,0.944,0.056,0.491,baseline,49999.0,2.0,4475.0,0.8995776367187499
760,0.986,0.014,0.898,A,4999.0,2.0,4475.0,0.8981372070312501
761,0.986,0.014,0.898,A,9999.0,2.0,4475.0,0.9033178710937498
762,0.986,0.014,0.898,A,14999.0,2.0,4475.0,0.90640380859375
763,0.986,0.014,0.898,A,19999.0,2.0,4475.0,0.9069775390625001
764,0.986,0.014,0.898,A,24999.0,2.0,4475.0,0.9078027343750001
765,0.986,0.014,0.898,A,29999.0,2.0,4475.0,0.908212890625
766,0.986,0.014,0.898,A,34999.0,2.0,4475.0,0.9085424804687501
767,0.986,0.014,0.898,A,39999.0,2.0,4475.0,0.90976806640625
768,0.986,0.014,0.898,A,44999.0,2.0,4475.0,0.90877685546875
769,0.986,0.014,0.898,A,49999.0,2.0,4475.0,0.90955810546875
770,0.986,0.014,0.898,B,4999.0,2.0,4475.0,0.8941479492187498
771,0.986,0.014,0.898,B,9999.0,2.0,4475.0,0.9008740234375001
772,0.986,0.014,0.898,B,14999.0,2.0,4475.0,0.9040356445312501
773,0.986,0.014,0.898,B,19999.0,2.0,4475.0,0.9056567382812499
774,0.986,0.014,0.898,B,24999.0,2.0,4475.0,0.9059130859375
775,0.986,0.014,0.898,B,29999.0,2.0,4475.0,0.90608154296875
776,0.986,0.014,0.898,B,34999.0,2.0,4475.0,0.9066577148437499
777,0.986,0.014,0.898,B,39999.0,2.0,4475.0,0.90744873046875
778,0.986,0.014,0.898,B,44999.0,2.0,4475.0,0.9067968750000001
779,0.986,0.014,0.898,B,49999.0,2.0,4475.0,0.9070385742187499
780,0.986,0.014,0.898,C,4999.0,2.0,4475.0,0.90174560546875
781,0.986,0.014,0.898,C,9999.0,2.0,4475.0,0.9051708984375001
782,0.986,0.014,0.898,C,14999.0,2.0,4475.0,0.9071728515624999
783,0.986,0.014,0.898,C,19999.0,2.0,4475.0,0.90762939453125
784,0.986,0.014,0.898,C,24999.0,2.0,4475.0,0.9075488281249999
785,0.986,0.014,0.898,C,29999.0,2.0,4475.0,0.9076904296875
786,0.986,0.014,0.898,C,34999.0,2.0,4475.0,0.90917236328125
787,0.986,0.014,0.898,C,39999.0,2.0,4475.0,0.9083422851562499
788,0.986,0.014,0.898,C,44999.0,2.0,4475.0,0.90871337890625
789,0.986,0.014,0.898,C,49999.0,2.0,4475.0,0.9077416992187499
790,0.986,0.014,0.898,baseline,4999.0,2.0,4475.0,0.89671875
791,0.986,0.014,0.898,baseline,9999.0,2.0,4475.0,0.8998974609375001
792,0.986,0.014,0.898,baseline,14999.0,2.0,4475.0,0.9005224609374999
793,0.986,0.014,0.898,baseline,19999.0,2.0,4475.0,0.9005151367187499
794,0.986,0.014,0.898,baseline,24999.0,2.0,4475.0,0.9012060546875
795,0.986,0.014,0.898,baseline,29999.0,2.0,4475.0,0.9009033203125
796,0.986,0.014,0.898,baseline,34999.0,2.0,4475.0,0.900595703125
797,0.986,0.014,0.898,baseline,39999.0,2.0,4475.0,0.9011010742187502
798,0.986,0.014,0.898,baseline,44999.0,2.0,4475.0,0.9009423828125002
799,0.986,0.014,0.898,baseline,49999.0,2.0,4475.0,0.9007470703125
