,Rank,Step,Value,Metric,Type,Agent
3,0,0,0.08740234375,Accuracy,Reconstruction,baseline
7,0,50,0.7431640625,Accuracy,Reconstruction,baseline
11,0,100,0.87255859375,Accuracy,Reconstruction,baseline
15,0,150,0.8955078125,Accuracy,Reconstruction,baseline
19,0,200,0.908935546875,Accuracy,Reconstruction,baseline
23,0,250,0.9169921875,Accuracy,Reconstruction,baseline
27,0,300,0.92626953125,Accuracy,Reconstruction,baseline
31,0,350,0.932861328125,Accuracy,Reconstruction,baseline
35,0,400,0.932373046875,Accuracy,Reconstruction,baseline
39,0,450,0.941162109375,Accuracy,Reconstruction,baseline
43,0,500,0.936767578125,Accuracy,Reconstruction,baseline
47,0,550,0.952392578125,Accuracy,Reconstruction,baseline
51,0,600,0.94677734375,Accuracy,Reconstruction,baseline
55,0,650,0.955078125,Accuracy,Reconstruction,baseline
59,0,700,0.953125,Accuracy,Reconstruction,baseline
63,0,750,0.955078125,Accuracy,Reconstruction,baseline
67,0,800,0.95947265625,Accuracy,Reconstruction,baseline
71,0,850,0.96630859375,Accuracy,Reconstruction,baseline
75,0,900,0.966064453125,Accuracy,Reconstruction,baseline
79,0,950,0.961181640625,Accuracy,Reconstruction,baseline
83,0,1000,0.96337890625,Accuracy,Reconstruction,baseline
87,0,1050,0.967529296875,Accuracy,Reconstruction,baseline
91,0,1100,0.96630859375,Accuracy,Reconstruction,baseline
95,0,1150,0.963134765625,Accuracy,Reconstruction,baseline
99,0,1200,0.970458984375,Accuracy,Reconstruction,baseline
103,0,1250,0.968994140625,Accuracy,Reconstruction,baseline
107,0,1300,0.972412109375,Accuracy,Reconstruction,baseline
111,0,1350,0.96826171875,Accuracy,Reconstruction,baseline
115,0,1400,0.963134765625,Accuracy,Reconstruction,baseline
119,0,1450,0.96875,Accuracy,Reconstruction,baseline
123,0,1500,0.968505859375,Accuracy,Reconstruction,baseline
127,0,1550,0.9658203125,Accuracy,Reconstruction,baseline
131,0,1600,0.971923828125,Accuracy,Reconstruction,baseline
135,0,1650,0.970458984375,Accuracy,Reconstruction,baseline
139,0,1700,0.974853515625,Accuracy,Reconstruction,baseline
143,0,1750,0.974365234375,Accuracy,Reconstruction,baseline
147,0,1800,0.972900390625,Accuracy,Reconstruction,baseline
151,0,1850,0.96630859375,Accuracy,Reconstruction,baseline
155,0,1900,0.970703125,Accuracy,Reconstruction,baseline
159,0,1950,0.9697265625,Accuracy,Reconstruction,baseline
163,0,2000,0.9755859375,Accuracy,Reconstruction,baseline
167,0,2050,0.972412109375,Accuracy,Reconstruction,baseline
171,0,2100,0.978759765625,Accuracy,Reconstruction,baseline
175,0,2150,0.97216796875,Accuracy,Reconstruction,baseline
179,0,2200,0.97265625,Accuracy,Reconstruction,baseline
183,0,2250,0.973876953125,Accuracy,Reconstruction,baseline
187,0,2300,0.9794921875,Accuracy,Reconstruction,baseline
191,0,2350,0.972900390625,Accuracy,Reconstruction,baseline
195,0,2400,0.97265625,Accuracy,Reconstruction,baseline
199,0,2450,0.979736328125,Accuracy,Reconstruction,baseline
203,0,2500,0.9736328125,Accuracy,Reconstruction,baseline
207,0,2550,0.972412109375,Accuracy,Reconstruction,baseline
211,0,2600,0.973388671875,Accuracy,Reconstruction,baseline
215,0,2650,0.978759765625,Accuracy,Reconstruction,baseline
219,0,2700,0.976318359375,Accuracy,Reconstruction,baseline
223,0,2750,0.97998046875,Accuracy,Reconstruction,baseline
227,0,2800,0.978271484375,Accuracy,Reconstruction,baseline
231,0,2850,0.975830078125,Accuracy,Reconstruction,baseline
235,0,2900,0.978271484375,Accuracy,Reconstruction,baseline
239,0,2950,0.97900390625,Accuracy,Reconstruction,baseline
243,0,3000,0.978759765625,Accuracy,Reconstruction,baseline
247,0,3050,0.97705078125,Accuracy,Reconstruction,baseline
251,0,3100,0.97998046875,Accuracy,Reconstruction,baseline
255,0,3150,0.9755859375,Accuracy,Reconstruction,baseline
259,0,3200,0.98291015625,Accuracy,Reconstruction,baseline
263,0,3250,0.978271484375,Accuracy,Reconstruction,baseline
267,0,3300,0.97607421875,Accuracy,Reconstruction,baseline
271,0,3350,0.9814453125,Accuracy,Reconstruction,baseline
275,0,3400,0.97998046875,Accuracy,Reconstruction,baseline
279,0,3450,0.980224609375,Accuracy,Reconstruction,baseline
283,0,3500,0.977294921875,Accuracy,Reconstruction,baseline
287,0,3550,0.978271484375,Accuracy,Reconstruction,baseline
291,0,3600,0.97900390625,Accuracy,Reconstruction,baseline
295,0,3650,0.978271484375,Accuracy,Reconstruction,baseline
299,0,3700,0.9853515625,Accuracy,Reconstruction,baseline
303,0,3750,0.97998046875,Accuracy,Reconstruction,baseline
307,0,3800,0.980712890625,Accuracy,Reconstruction,baseline
311,0,3850,0.982421875,Accuracy,Reconstruction,baseline
315,0,3900,0.982177734375,Accuracy,Reconstruction,baseline
319,0,3950,0.984619140625,Accuracy,Reconstruction,baseline
323,0,4000,0.978271484375,Accuracy,Reconstruction,baseline
327,0,4050,0.982177734375,Accuracy,Reconstruction,baseline
331,0,4100,0.98388671875,Accuracy,Reconstruction,baseline
335,0,4150,0.981201171875,Accuracy,Reconstruction,baseline
339,0,4200,0.975830078125,Accuracy,Reconstruction,baseline
343,0,4250,0.98046875,Accuracy,Reconstruction,baseline
347,0,4300,0.982421875,Accuracy,Reconstruction,baseline
351,0,4350,0.982421875,Accuracy,Reconstruction,baseline
355,0,4400,0.9794921875,Accuracy,Reconstruction,baseline
359,0,4450,0.979248046875,Accuracy,Reconstruction,baseline
363,0,4500,0.9853515625,Accuracy,Reconstruction,baseline
367,0,4550,0.982177734375,Accuracy,Reconstruction,baseline
371,0,4600,0.98193359375,Accuracy,Reconstruction,baseline
375,0,4650,0.982177734375,Accuracy,Reconstruction,baseline
379,0,4700,0.981689453125,Accuracy,Reconstruction,baseline
383,0,4750,0.98388671875,Accuracy,Reconstruction,baseline
387,0,4800,0.985595703125,Accuracy,Reconstruction,baseline
391,0,4850,0.978759765625,Accuracy,Reconstruction,baseline
395,0,4900,0.982177734375,Accuracy,Reconstruction,baseline
399,0,4950,0.985107421875,Accuracy,Reconstruction,baseline
403,0,0,0.107177734375,Accuracy,Reconstruction,A
407,0,50,0.67822265625,Accuracy,Reconstruction,A
411,0,100,0.8154296875,Accuracy,Reconstruction,A
415,0,150,0.8583984375,Accuracy,Reconstruction,A
419,0,200,0.86181640625,Accuracy,Reconstruction,A
423,0,250,0.87353515625,Accuracy,Reconstruction,A
427,0,300,0.864501953125,Accuracy,Reconstruction,A
